Time,Acceleration,PWM
14.6,1.945892333984375,13824.0
14.700000000000001,1.931427001953125,20000.0
14.799999999999999,6.127021789550781,20000.0
14.9,52.141204833984375,13824.0
15.000000000000002,28.768814086914062,13824.0
15.1,2.589706420898437,13824.0
15.200000000000001,1.9241943359375,13824.0
15.299999999999999,2.0110015869140625,13824.0
15.4,1.8952484130859373,19000.0
15.500000000000002,3.334785461425781,19000.0
15.6,47.51158142089844,13824.0
15.700000000000001,34.87413024902344,13824.0
15.799999999999999,3.088829040527344,13824.0
15.9,1.960357666015625,13824.0
16.0,2.025459289550781,13824.0
16.1,1.9820556640625,18000.0
16.200000000000003,2.191841125488281,18000.0
16.299999999999997,39.18547058105469,13824.0
16.4,38.96122741699219,13824.0
16.5,4.231773376464844,13824.0
16.6,1.9386520385742188,13824.0
16.700000000000003,2.018226623535156,13824.0
16.800000000000004,1.9386520385742188,6500.0
16.9,1.974822998046875,6500.0
17.0,-68.09172058105469,13824.0
17.1,-36.04600524902344,13824.0
17.200000000000003,0.3110504150390625,13824.0
17.300000000000004,1.945892333984375,13824.0
17.4,1.9386520385742188,13824.0
17.5,1.989295959472656,7000.0
17.6,-70.3631362915039,7000.0
17.700000000000003,-44.61805725097656,13824.0
17.800000000000004,-1.2514495849609375,13824.0
17.9,1.9386520385742188,13824.0
18.0,1.8373870849609373,13824.0
18.1,1.9386520385742188,13824.0
18.200000000000003,1.945892333984375,13824.0
18.300000000000004,1.945892333984375,20000.0
18.4,50.25318908691406,20000.0
18.5,37.18894958496094,13824.0
18.6,4.087089538574219,13824.0
18.700000000000003,1.9241943359375,13824.0
18.800000000000004,1.9820556640625,13824.0
18.9,1.931427001953125,13824.0
19.0,1.9386520385742188,19000.0
19.1,41.11689758300781,19000.0
19.200000000000003,42.64321899414063,13824.0
19.300000000000004,7.2554931640625,13824.0
19.4,1.9965286254882808,13824.0
19.5,1.953125,13824.0
19.6,1.945892333984375,13824.0
19.700000000000003,1.9024810791015625,18000.0
19.800000000000004,31.43084716796875,18000.0
19.9,41.03009033203125,13824.0
20.0,11.834487915039062,13824.0
20.1,1.9820556640625,13824.0
20.200000000000003,1.974822998046875,13824.0
20.300000000000004,1.9241943359375,13824.0
20.4,1.9820556640625,6500.0
20.5,-59.23755645751953,6500.0
20.6,-47.24392318725586,13824.0
20.700000000000003,-4.607925415039063,13824.0
20.800000000000004,1.8807907104492188,13824.0
20.9,1.9241943359375,13824.0
21.0,1.974822998046875,13824.0
21.1,1.945892333984375,7000.0
21.200000000000003,-54.86111068725586,7000.0
21.300000000000004,-54.00752258300781,13824.0
21.4,-7.3206024169921875,13824.0
21.5,1.8084564208984373,13824.0
21.6,1.953125,13824.0
